Tempo	DP1	DP2	DP3	DP4	DP5
1,78	1,63724988	8,899554	9,713391	9,167642	9,301685
1,8	0,72958152	8,985725	9,54105	7,6069884	9,349558
1,82	-0,82149732	9,119769	9,560199	6,745278	9,158067
1,84	-1,372992	9,014449	9,732541	6,017611	9,071896
1,86	-0,78702888	9,148493	9,54105	5,519734	8,870831
1,88	0,338939448	9,0814705	9,330409	6,5729356	8,9761505
1,9	2,16576564	9,024023	9,608071	5,634629	9,119769
1,92	4,84281288	9,138918	9,3878565	12,509163	9,18679
1,94	0,6146868	9,244238	9,177217	13,390023	9,29211
1,96	-1,372992	9,454879	8,909128	9,6942425	9,397431
1,98	-0,29298156	9,330409	8,459125	12,001712	9,560199
2	-0,98234988	9,359133	8,028269	10,383611	9,828286
2,02	0,361918404	11,226172	8,191036	10,460207	10,019777
2,04	2,1312972	13,734707	7,5974135	8,4686985	9,885734
2,06	1,57980252	14,395351	7,9037995	9,64637	10,220843
2,08	-2,0393814	14,902803	8,861256	9,598496	10,517654
2,1	-4,63600212	15,295361	8,286782	9,215514	11,05383
2,12	-3,61343904	14,787909	7,788905	9,158067	13,093211
2,14	-0,844476204	14,146413	7,1665583	9,493176	14,43365
2,16	1,26958668	15,592172	7,6069884	9,3878565	16,166645
2,18	0,384897312	14,0793915	8,21976	9,464453	16,607075
2,2	-1,36150248	11,925115	9,914457	9,253813	15,467703
2,22	-1,90150764	7,9899707	10,575102	9,483603	13,99322
2,24	-1,028307792	0,023936402	18,378368	9,502751	10,622974
2,26	-0,005744736	5,2420716	14,87408	9,598496	9,272962
2,28	-0,212555244	7,2623043	4,926111	9,263388	9,033598
2,3	-1,26958668	3,825037	7,808054	9,349558	7,56869
2,32	-1,63724988	0,4835153	9,713391	9,110194	6,2665496
2,34	-1,36150248	1,6803354	9,234664	9,20594	6,3527207
2,36	-1,46490768	3,451629	9,320834	9,0814705	4,4186597
2,38	-1,63724988	2,752686	10,077225	9,071896	3,193116
2,4	-1,07426568	2,475024	8,928278	9,091045	4,3133397
2,42	-0,66064464	2,7622607	8,870831	9,119769	4,351638
2,44	-0,522771	3,078221	9,569773	9,20594	4,2271686
2,46	-0,8100078	3,231414	9,560199	9,18679	5,194199
2,48	-0,98234988	2,7718353	9,263388	9,3878565	6,37187
2,5	-0,557239404	5,452712	9,2825365	9,18679	6,8601727
2,52	-0,62617632	8,55487	9,167642	9,330409	7,4729443
2,54	-0,7066026	6,9559183	9,54105	9,359133	9,091045
2,56	-0,7985184	4,4186597	9,5889225	9,100619	10,249567
2,58	-1,46490768	5,8548436	9,3878565	9,177217	10,833615
2,6	-1,48788672	2,7814097	9,244238	9,531475	11,915541
2,62	-0,534260484	2,733537	9,301685	9,703817	10,019777
2,64	-0,672134112	19,192207	9,435729	10,000628	5,5484576
2,66	-0,338939448	10,010203	9,330409	10,2016945	4,351638
2,68	1,39597092	0,91437054	9,339984	11,254896	5,529309
2,7	1,67171832	9,866585	9,493176	12,432567	5,021857
2,72	0,35042892	9,866585	9,445304	14,816632	8,506997
2,74	0,166597344	9,234664	9,397431	16,233667	19,546465
2,76	0,453834168	8,277207	9,550624	15,783663	9,29211
2,78	-1,77512352	9,675094	9,62722	11,944264	11,800646
2,8	-2,72874984	9,301685	9,569773	7,0612383	11,695326
2,82	-2,30363916	9,8953085	9,320834	6,9463434	11,226172
2,84	-2,75172876	9,339984	9,493176	5,452712	8,430401
2,86	0,46532364	9,225089	9,809137	5,28037	7,4920936
2,88	-0,476813112	9,129343	10,058076	5,845269	11,025106
2,9	-0,764049912	8,9761505	9,675094	6,8601727	10,814466
2,92	0,97086048	9,052747	9,608071	5,605905	8,899554
2,94	2,37257604	8,880404	9,713391	4,466532	9,742115
2,96	2,6942814	8,880404	10,058076	4,5335546	8,822957
2,98	1,69469724	8,708063	9,64637	5,0984535	8,602742
3	2,02789188	8,832532	9,024023	5,5484576	9,684668
3,02	2,40704436	8,928278	8,861256	5,49101	10,029352
3,04	2,56789716	8,813383	8,392102	5,797396	9,225089
3,06	3,22279704	8,631466	8,4686985	6,065484	8,909128
3,08	3,15386004	8,621892	8,593168	6,3814445	9,138918
3,1	2,809176	8,717637	8,593168	7,176133	9,253813
3,12	2,3381076	8,889979	8,803808	7,855927	9,215514
3,14	1,39597092	9,272962	8,650616	8,708063	8,9761505
3,16	1,23511836	9,263388	12,049584	9,866585	9,129343
3,18	1,26958668	9,29211	6,5729356	10,077225	9,177217
3,2	0,86745516	9,100619	5,672927	10,048501	9,052747
3,22	0,741070956	8,995299	12,279374	10,000628	9,100619
3,24	1,89001824	9,0814705	10,2016945	8,803808	8,985725
3,26	1,56831288	9,368708	8,535721	7,5782647	9,043172
3,28	-0,08617104	12,269799	9,675094	6,7069798	9,378282
3,3	-1,51086564	14,625141	9,196365	5,806971	9,464453
3,32	-1,03979724	14,53897	9,2825365	6,323997	9,5219
3,34	-0,672134112	15,08472	9,091045	5,634629	9,043172
3,36	1,64873928	16,003878	9,177217	5,481436	9,263388
3,38	3,5559918	15,381532	9,5889225	15,707067	9,675094
3,4	-0,764049912	14,232584	9,378282	12,059159	10,019777
3,42	-0,384897312	12,719804	9,29211	9,732541	10,517654
3,44	0,8100078	11,532558	9,550624	11,140001	11,149575
3,46	1,05128676	10,450633	9,464453	11,446387	13,102786
3,48	-0,29298156	5,950589	9,397431	8,5740185	13,23683
3,5	0,924902556	-0,09095833	9,359133	9,129343	12,56661
