Tempo	C1	C2	C3	C4	C5
1,78	-0,512239	11,044255	10,172971	9,5889225	10,910212
1,8	-3,078221	11,216598	11,551707	9,167642	13,686834
1,82	-4,342063	12,308098	10,6134	9,253813	8,439975
1,84	-3,8154624	11,781497	10,670848	9,330409	-0,71330476
1,86	-2,015445	9,770839	10,421909	8,937852	-0,78990126
1,88	0,2441513	7,3676243	8,6697645	9,062322	3,4229054
1,9	2,714388	4,6771727	9,64637	9,119769	4,658024
1,92	3,7197168	3,2792869	10,374036	8,966576	5,8165455
1,94	3,2409887	3,212265	10,019777	8,889979	16,61665
1,96	2,800559	3,4420545	9,713391	8,966576	19,603912
1,98	2,2835326	5,194199	9,617646	9,253813	10,287866
2	1,5750152	15,956005	9,818711	8,401677	1,948423
2,02	0,8090504	18,69433	9,722966	8,401677	-0,03351096
2,04	-0,26330042	12,624058	9,41658	8,909128	5,6154795
2,06	-0,8281995	5,3186684	9,320834	9,004874	10,182545
2,08	-0,8186249	11,245321	9,3878565	8,947427	17,985811
2,1	-0,19627848	9,043172	9,062322	9,014449	18,541136
2,12	0,63670826	9,943181	9,320834	9,091045	6,5825105
2,14	0,9526688	14,443225	9,2825365	8,947427	7,4250717
2,16	0,90479594	13,849602	9,483603	8,832532	9,272962
2,18	0,9622433	10,498506	9,435729	8,985725	11,522984
2,2	1,2877784	7,243155	8,842107	9,579348	13,533641
2,22	1,5558661	10,862339	9,41658	9,598496	8,430401
2,24	1,0005416	10,642124	9,732541	10,709146	6,027186
2,26	0,00478728	7,2144313	9,129343	12,968742	7,587839
2,28	-0,16755481	7,721883	9,368708	14,299606	10,871913
2,3	0,3398969	9,799562	9,7899885	16,080475	12,3463955
2,32	0,63670826	9,722966	9,033598	16,15707	9,847435
2,34	0,4356425	9,780414	8,870831	15,563448	8,487848
2,36	0,09095833	10,441058	9,493176	13,638962	8,889979
2,38	0,26330042	10,488931	9,560199	10,259142	9,483603
2,4	0,8186249	10,211268	10,125097	9,75169	9,64637
2,42	1,14416	9,799562	11,379365	8,171887	9,320834
2,44	0,7420284	9,5219	11,743198	7,702734	8,698488
2,46	0,03351096	9,598496	10,92936	8,851681	8,181462
2,48	-0,6845811	9,655944	12,221927	6,831449	8,372953
2,5	-1,0101161	9,378282	13,093211	3,9495063	9,167642
2,52	-0,8090504	9,0814705	12,154904	4,935686	9,876159
2,54	-0,61755913	9,234664	13,840027	8,430401	12,020861
2,56	-0,8473486	9,225089	14,155988	5,7112255	17,296444
2,58	-1,1058618	9,225089	14,414501	3,7388659	16,70282
2,6	-0,8952214	9,31126	14,041093	3,8633351	16,875162
2,62	-0,5792609	9,320834	12,844273	3,9495063	15,640044
2,64	-0,6271337	9,263388	11,657027	4,2175937	17,1624
2,66	-0,56011176	9,2825365	12,288948	4,322914	15,879409
2,68	0,34947145	9,368708	12,719804	5,376116	15,170891
2,7	2,4367256	9,225089	11,034681	5,9027166	12,164479
2,72	3,2888615	9,225089	9,31126	6,6016593	8,66019
2,74	1,4984187	9,636795	8,66019	8,459125	8,516571
2,76	0,19627848	9,818711	5,7686725	9,110194	9,780414
2,78	-0,40691882	10,144247	6,678256	9,703817	7,4442205
2,8	-1,776081	10,795317	5,261221	10,182545	4,2654667
2,82	-2,254809	10,843189	5,462287	10,220843	4,1026993
2,84	-2,2452345	10,603826	4,73462	10,374036	4,6005764
2,86	0,26330042	10,996383	3,604822	10,622974	5,328243
2,88	2,149489	10,747444	4,782493	11,226172	5,941015
2,9	0,70373017	10,871913	5,49101	10,632549	7,0803876
2,92	-1,1537346	11,82937	5,232497	10,134672	7,204857
2,94	-3,604822	12,145329	5,088879	10,680422	6,47719
2,96	-5,4431376	11,791071	5,787822	7,2527294	6,1420803
2,98	-6,2474008	11,877242	6,5729356	4,169721	7,5591154
3	-6,3622956	12,442142	6,8888965	3,777164	10,689997
3,02	-6,4963393	12,604909	8,334655	5,28037	11,4272375
3,04	-7,616563	11,092129	9,636795	5,4239883	11,28362
3,06	-7,281453	10,105948	10,450633	5,7112255	11,187874
3,08	-6,218677	9,550624	11,637878	12,490014	11,905966
3,1	-4,7250457	8,937852	13,313426	19,029438	12,834699
3,12	-3,1452432	9,110194	13,744282	10,144247	11,216598
3,14	-1,4026731	8,803808	13,619812	10,29744	6,975067
3,16	0,10053288	5,5771813	13,390023	15,170891	2,6952388
3,18	1,1824582	6,0463347	11,72405	11,149575	2,580344
3,2	1,2207564	8,018694	9,445304	8,44955	4,1122737
3,22	0,8760723	7,788905	8,037844	10,383611	6,678256
3,24	0,56011176	5,7016506	6,2282515	8,191036	16,147495
3,26	1,2207564	4,0069537	3,7963133	10,919786	19,603912
3,28	0,77075213	4,96441	3,1069448	10,40276	9,531475
3,3	0,043085523	7,9899707	4,5335546	8,430401	4,926111
3,32	0,4356425	9,780414	6,218677	9,847435	4,926111
3,34	0,8664977	9,368708	6,2282515	9,569773	6,486765
3,36	2,4845984	9,665519	7,5399666	9,502751	10,910212
3,38	-7,741032	10,172971	7,9037995	9,885734	17,698574
3,4	-12,087883	10,795317	9,31126	9,29211	12,183628
3,42	-7,7314577	11,063405	19,268803	9,464453	6,285699
3,44	-1,1345854	11,034681	12,490014	9,847435	7,8367777
3,46	3,825037	11,676176	1,3452257	9,75169	9,493176
3,48	7,2527294	12,087883	10,345312	9,378282	11,618729
3,5	4,9739842	11,245321	18,416668	9,31126	12,978316
3,52	1,8526775	10,757019	9,129343	9,426155	10,06765
3,54	-0,15798025	10,82404	8,650616	9,29211	7,2240057
3,56	-1,8335283	10,220843	9,952756	9,378282	8,104865
3,58	-2,580344	8,44955	12,604909	9,531475	10,105948
3,6	-3,7484405	5,8165455	11,771922	9,722966	11,417664
3,62	-2,494173	3,020774	6,438892	9,3878565	10,517654
3,64	-1,1154363	3,039923	9,445304	8,966576	9,177217
3,66	-0,36862057	5,0314317	10,594251	9,129343	8,813383
3,68	0,28244954	5,8644185	10,603826	9,253813	9,426155
3,7	0,7994758	6,2474008	9,512326	9,215514	10,058076
3,72	1,4313968	6,869747	9,75169	9,024023	9,85701
3,74	2,1590633	16,137922	8,822957	9,31126	9,110194
3,76	2,2356598	17,851768	9,684668	9,129343	8,784659
3,78	1,4026731	9,924032	10,058076	9,225089	9,014449
3,8	0,3877697	6,0080366	9,665519	9,024023	9,29211
3,82	-0,2441513	11,561282	9,158067	8,794233	10,134672
3,84	-0,64628285	10,412334	9,119769	8,794233	10,498506
3,86	-0,8760723	10,316589	9,483603	8,909128	9,464453
3,88	-0,8856468	11,532558	9,924032	9,043172	9,272962
3,9	-0,46436617	14,452799	9,435729	9,598496	10,814466
3,92	0,25372586	11,570856	9,732541	10,421909	12,221927
3,94	0,8760723	8,794233	9,655944	10,29744	14,87408
3,96	1,0867126	8,7750845	9,770839	10,546378	17,899641
3,98	0,77075213	10,077225	9,502751	11,245321	17,401764
4	0,16755481	10,441058	9,368708	11,149575	15,860259
4,02	-0,26330042	9,866585	9,6942425	11,475111	13,954922
4,04	-0,36862057	9,196365	10,239992	12,317672	9,703817
4,06	-0,665432	8,688913	9,483603	12,46129	6,486765
4,08	-1,1824582	8,641041	9,253813	11,858093	4,9835587
4,1	-1,2590547	9,474028	9,617646	10,996383	6,4484663
4,12	-0,93351966	10,737869	9,29211	9,18679	6,9176197
4,14	-0,2154276	10,82404	9,167642	8,028269	4,3803616
4,16	0,4164934	10,105948	10,029352	7,35805	3,844186
4,18	1,3165021	9,8953085	8,200611	6,6878304	5,49101
4,2	1,2303311	10,058076	7,9420977	6,6878304	7,5974135
4,22	0,023936402	9,885734	9,215514	6,4293175	9,464453
4,24	-1,3643749	9,397431	9,426155	7,616563	7,9420977
4,26	-2,6569405	9,129343	8,506997	7,2144313	12,710229
4,28	-2,9633265	9,119769	9,119769	6,0080366	9,75169
4,3	-2,7909844	9,272962	9,684668	7,137835	10,680422
4,32	-2,8771553	9,617646	10,153821	6,6016593	8,095291
4,34	-3,0686467	9,7899885	9,742115	5,806971	7,7506065
4,36	-3,518651	9,780414	9,512326	6,1899533	10,115523
4,38	-3,5856729	9,655944	9,033598	6,47719	8,23891
4,4	-2,1590633	9,5219	7,6261373	6,486765	2,561195
4,42	1,4218222	9,493176	7,089962	7,2718787	6,2474008
4,44	3,7388659	9,502751	6,7357035	7,9037995	6,0846334
4,46	4,772918	9,426155	6,47719	7,9899707	12,758101
4,48	4,658024	9,196365	6,8601727	8,248484	19,603912
4,5	3,9495063	9,18679	8,6697645	8,918703	11,293194
4,52	3,5282254	9,378282	9,033598	9,100619	5,2133484
4,54	1,9675722	9,579348	8,104865	9,301685	6,7548523
4,56	0,47394073	9,770839	9,655944	9,502751	10,364462
4,58	1,2303311	9,75169	11,59958	9,043172	14,337904
4,6	2,6856642	10,06765	11,331492	8,095291	11,408089
4,62	3,7675896	10,584677	10,431483	7,5303917	8,1623125
4,64	3,078221	10,843189	10,441058	7,5591154	8,34423
4,66	1,6420372	11,207023	10,383611	7,5782647	9,138918
4,68	0,77075213	11,293194	9,742115	6,869747	9,8953085
4,7	0,7324539	11,034681	10,134672	5,988888	10,06765
4,72	1,8431029	11,063405	10,670848	6,4484663	10,096374
4,74	2,427151	11,379365	9,684668	4,284616	9,320834
4,76	2,5707695	11,312344	9,20594	13,495343	8,889979
4,78	2,9537518	10,469782	10,000628	18,387943	9,3878565
4,8	4,169721	9,435729	8,593168	6,716554	10,019777
4,82	5,49101	8,487848	8,2676325	8,037844	9,5889225
4,84	5,634629	7,9803963	8,2676325	8,794233	9,138918
4,86	4,658024	8,124015	8,411251	8,621892	9,397431
4,88	3,6431203	8,717637	8,277207	9,85701	9,665519
4,9	3,7005677	9,091045	8,334655	10,278291	9,85701
4,92	3,499502	8,305931	8,803808	9,225089	10,096374
4,94	2,0920415	6,170804	9,100619	9,253813	9,828286
4,96	0,4835153	4,0739756	9,071896	9,847435	9,502751
4,98	-0,5888355	3,7388659	9,158067	9,330409	9,454879
5	-0,7420284	3,5378	8,870831	8,602742	9,780414
5,02	-0,30159867	5,155901	8,985725	9,148493	10,527229
5,04	0,09095833	7,3006024	9,435729	9,6942425	13,112361
5,06	0,0718092	7,8846507	9,876159	9,41658	14,136839
5,08	-0,39734426	6,6591067	9,933606	9,196365	12,518738
5,1	-0,5313881	5,672927	10,94851	9,014449	12,67193
5,12	0,6271337	6,0750585	12,0400095	9,349558	11,905966
5,14	1,7569319	7,396348	12,231501	9,330409	9,713391
5,16	-0,8281995	8,7750845	12,442142	9,062322	8,1623125
5,18	-6,678256	9,636795	11,915541	9,177217	7,664436
5,2	-8,296356	9,885734	11,312344	9,550624	7,396348
5,22	-9,0814705	10,421909	11,101703	9,397431	7,1186857
5,24	-11,254896	10,71872	9,742115	9,014449	8,018694
5,26	-10,163396	10,058076	8,842107	8,880404	7,4920936
5,28	-3,1069448	10,096374	8,44955	9,158067	7,9803963
5,3	3,518651	10,622974	7,3676243	9,196365	10,986808
5,32	1,6611862	11,025106	6,783576	9,253813	8,583593
5,34	-4,351638	11,025106	7,9325233	9,18679	4,045252
5,36	-3,2505634	10,603826	6,6591067	9,071896	5,5484576
5,38	-1,2782038	10,172971	7,3197513	8,985725	10,0868
5,4	1,5654407	9,761265	7,3867736	9,29211	11,36979
5,42	0,03351096	9,512326	7,664436	9,29211	7,511243
5,44	-0,27287498	9,234664	7,8846507	9,301685	4,8207912
5,46	0,50266445	8,736787	8,411251	9,426155	4,322914
5,48	0,8760723	7,2335806	9,119769	9,732541	4,0356774
5,5	0,043085523	4,648449	9,397431	9,904882	8,995299
5,52	-1,3930986	3,9782298	9,7899885	9,617646	16,74112
5,54	-3,231414	5,155901	10,220843	10,689997	14,376203
5,56	-3,9207826	6,525063	10,670848	9,799562	5,950589
5,58	-2,3314054	8,315506	11,465536	10,5080805	4,8207912
5,6	-0,4164934	13,255979	10,584677	11,743198	6,7357035
5,62	0,3877697	12,470865	9,761265	12,116607	13,217681
5,64	0,4164934	7,8846507	10,2016945	10,938935	15,381532
5,66	0,15798025	6,5729356	10,153821	12,279374	9,234664
5,68	0,27287498	7,434646	9,41658	11,82937	6,831449
5,7	0,47394073	11,446387	8,487848	11,168725	8,736787
5,72	0,2154276	11,072979	6,697405	10,680422	11,72405
5,74	-0,36862057	8,535721	5,605905	10,125097	11,044255
5,76	-0,78032666	9,158067	5,979313	9,579348	8,679339
5,78	-0,59841	10,182545	5,2707953	9,608071	7,788905
5,8	-0,22500217	9,397431	6,630383	9,052747	8,459125
5,82	-0,15798025	8,708063	14,816632	9,435729	10,144247
5,84	-0,59841	9,148493	12,987891	8,822957	11,379365
5,86	-1,0675635	9,818711	5,797396	8,621892	10,345312
5,88	-1,5271424	9,780414	8,698488	7,7506065	8,755936
5,9	-1,5367169	9,5889225	12,451715	6,8027253	8,765511
5,92	-0,83777404	9,722966	10,383611	7,2718787	10,259142
5,94	-0,14840569	9,933606	9,847435	8,621892	12,25065
5,96	0,12925656	9,952756	10,374036	7,846352	12,604909
5,98	0,03351096	9,924032	8,181462	6,4484663	13,868751
6	-0,2441513	9,234664	8,516571	7,4154973	16,329412
6,02	-0,512239	8,564445	10,06765	8,23891	16,013453
6,04	-0,92394507	8,928278	10,048501	8,727212	13,753856
6,06	-1,1728836	9,54105	9,732541	8,918703	12,221927
6,08	-1,1250108	9,445304	10,058076	8,842107	11,858093
6,1	-0,5218136	9,368708	9,885734	9,014449	12,643207
6,12	0,17712937	9,598496	9,138918	9,828286	11,05383
6,14	0,6845811	9,445304	9,454879	10,766593	8,755936
6,16	0,18670394	9,234664	9,6942425	11,484685	10,048501
6,18	-0,6079846	9,253813	9,091045	11,867668	13,562365
6,2	-1,0867126	9,320834	9,014449	11,953838	8,095291
6,22	-1,0484143	9,426155	9,263388	11,417664	1,4409714
6,24	-0,9718179	9,397431	9,407005	9,732541	5,912291
